map_simple_use,premise_age,height_bucket,total_count,global_average_fc
Mixed Use,"1919-1944,Post 1999",5-6m,0,
Mixed Use,"1919-1944,Post 1999",50-55m,0,
Mixed Use,"1919-1944,Post 1999",55-60m,0,
Mixed Use,"1919-1944,Post 1999",6-7m,1,2.0
Mixed Use,"1919-1944,Post 1999",60-70m,0,
Mixed Use,"1919-1944,Post 1999",7-8m,0,
Mixed Use,"1919-1944,Post 1999",70-80m,0,
Mixed Use,"1919-1944,Post 1999",8-9m,3,2.0
Mixed Use,"1919-1944,Post 1999",80-90m,0,
Mixed Use,"1919-1944,Post 1999",9-10m,6,2.0
Mixed Use,"1919-1944,Post 1999",90-100m,0,
Mixed Use,"1919-1944,Pre 1919",0-2m,0,
Mixed Use,"1919-1944,Pre 1919",10-12m,89,2.303370786516854
Mixed Use,"1919-1944,Pre 1919",100-200m,0,
Mixed Use,"1919-1944,Pre 1919",12-14m,43,2.9767441860465116
Mixed Use,"1919-1944,Pre 1919",14-16m,33,3.090909090909091
Mixed Use,"1919-1944,Pre 1919",16-18m,31,3.129032258064516
Mixed Use,"1919-1944,Pre 1919",18-20m,8,4.0
Mixed Use,"1919-1944,Pre 1919",2-3m,0,
Mixed Use,"1919-1944,Pre 1919",20-25m,20,4.15
Mixed Use,"1919-1944,Pre 1919",25-30m,7,5.285714285714286
Mixed Use,"1919-1944,Pre 1919",3-4m,0,
Mixed Use,"1919-1944,Pre 1919",30-35m,4,6.0
Mixed Use,"1919-1944,Pre 1919",35-40m,1,7.0
Mixed Use,"1919-1944,Pre 1919",4-5m,0,
Mixed Use,"1919-1944,Pre 1919",40-45m,0,
Mixed Use,"1919-1944,Pre 1919",45-50m,0,
Mixed Use,"1919-1944,Pre 1919",5-6m,4,2.0
Mixed Use,"1919-1944,Pre 1919",50-55m,0,
Mixed Use,"1919-1944,Pre 1919",55-60m,0,
Mixed Use,"1919-1944,Pre 1919",6-7m,3,2.0
Mixed Use,"1919-1944,Pre 1919",60-70m,0,
Mixed Use,"1919-1944,Pre 1919",7-8m,20,2.05
Mixed Use,"1919-1944,Pre 1919",70-80m,0,
Mixed Use,"1919-1944,Pre 1919",8-9m,51,2.156862745098039
Mixed Use,"1919-1944,Pre 1919",80-90m,0,
Mixed Use,"1919-1944,Pre 1919",9-10m,86,2.0232558139534884
Mixed Use,"1919-1944,Pre 1919",90-100m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",0-2m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",10-12m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",100-200m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",12-14m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",14-16m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",16-18m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",18-20m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",2-3m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",20-25m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",25-30m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",3-4m,0,
Mixed Use,"1919-1944,Pre 1919,Unknown date",30-35m,0,
